,title,combined
659,The Babysitter,Comedies Horror Movies  SamaraWeaving HanaMaeLee JudahLewis RobbieAmell BellaThorne AndrewBachelor EmilyAlynLind LeslieBibb KenMarino The Babysitter When Cole stays up past his bedtime he discovers that his hot babysitter is part of a satanic cult that will stop at nothing to keep him quiet
660,The Meyerowitz Stories New and Selected,Comedies Dramas Independent Movies  AdamSandler BenStiller DustinHoffman ElizabethMarvel GraceVanPatten EmmaThompson CandiceBergen RebeccaMiller DannyFlaherty SakinaJaffrey AdamDavidThompson The Meyerowitz Stories New and Selected Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father  and his fading legacy
661,Mascots,Comedies  CarrieAizley SarahBaker BobBalaban EdBegleyJr. TomBennett MariaBlasucci JenniferCoolidge KerryGodliman MattGriesser ChristopherGuest JohnMichaelHiggins MichaelHitchcock DonLake JaneLynch ChristopherMoynihan ChrisO'Dowd JimPiddock ParkerPosey HarryShearer FredWillard ZachWoods SusanYeagley Mascots Eager contestants don big heads and furry suits to vie for the title of Worlds Best Mascot in this offbeat comic romp from Christopher Guest
662,Apostle,Horror Movies International Movies Thrillers  DanStevens LucyBoynton MichaelSheen MarkLewisJones BillMilner KristineFroseth PaulHiggins RichardElfyn ElenRhys RossO'Hennessy Apostle In 1905 a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island
663,Black Heart,Crime TV Shows International TV Shows TV Dramas  BarışKılıç TuvanaTürkay SerhatTutumluer GülçinSantırcıoğlu KenanBal Black Heart Blaming a crooked media mogul for the death of his journalist sister a surgeon enlists the help of a beautiful psychologist to get revenge
664,Errementari The Blacksmith and the Devil,Horror Movies International Movies SciFi  Fantasy  KandidoUranga UmaBracaglia EnekoSagardoy RamónAgirre JoseanBengoetxea GotzonSánchez JoséRamónArgoitia GorkaAguinagalde IñigodelaIglesia AitorUrtzelai Errementari The Blacksmith and the Devil A brutal blacksmith tortures a demon he blames for his misery unaware a trespassing orphan is about to change everything Based on Basque folklore
665,FIGHTWORLD,Docuseries  FrankGrillo FIGHTWORLD Actor and fight enthusiast Frank Grillo travels the world immersing himself in different fight cultures to understand their traditions and motivations
666,Kuntilanak,Horror Movies International Movies  SandrinnaMSkornicki AurélieMoeremans FeroWalandouw AndryanBima CiaraNadineBrosnan AliFikry AdluFahrezy NenaRosier NaufalHo AqiSinggih Kuntilanak Five youngsters discover that an antique mirror found in their orphanage is home to an evil ghost who kidnaps children and imprisons them inside it
667,The Curious Creations of Christine McConnell,TV Comedies TV Mysteries  ChristineMcConnell ColleenSmith AdamMayfield MichaelOosterom DrewMassey MickIgnis TimLagasse DitavonTeese StevenM.Porter ElkoWeaver The Curious Creations of Christine McConnell Wickedly talented baker and artist Christine McConnell fills her home with haunting confections creepy crafts  and wildly inappropriate creatures
668,The Haunting of Hill House,TV Dramas TV Horror TV Mysteries  MichielHuisman CarlaGugino TimothyHutton HenryThomas ElizabethReaser OliverJackson-Cohen KateSiegel VictoriaPedretti LuluWilson MckennaGrace PaxtonSingleton JulianHilliard VioletMcGraw The Haunting of Hill House Flashing between past and present a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it
669,The Kindergarten Teacher,Dramas Independent Movies  MaggieGyllenhaal ParkerSevak GaelGarcíaBernal MichaelChernus AnnaBaryshnikov RosaSalazar AjayNaidu The Kindergarten Teacher A devoted teacher takes interest in a young students creative potential after hearing his poetry But she soon crosses the line into obsession
670,Barakah Meets Barakah,Comedies International Movies Romantic Movies  HishamFageeh FatimaAl-Banawi SamiHifny KhairiaNazmi AbdulmajeedAl-Ruhaidi Barakah Meets Barakah A laidback civil servant and wealthy video blogger struggle to make it as a modern couple amid strict Saudi social conventions
671,Bomb Scared,Comedies Independent Movies International Movies  JavierCámara JuliánLópez MirenIbarguren GorkaOtxoa TinaSáinz RamónBarea Bomb Scared In this dark comedy a dysfunctional group of wannabe Basque terrorists awaits word about a new mission while Spain makes a run at the World Cup title
672,Justin Timberlake  the Tennessee Kids,Music  Musicals  JustinTimberlake Justin Timberlake  the Tennessee Kids On the final nights of a world tour director Jonathan Demme captures what makes the show soar gifted musicians deft dancers and a magnetic star
673,Iron Man  Captain America Heroes United,Children  Family Movies SciFi  Fantasy  AdrianPasdar RogerCraigSmith FredTatasciore DavidKaye ClancyBrown LiamO'Brien RobinAtkinDownes DeeBradleyBaker Iron Man  Captain America Heroes United While battling to keep the Red Skull and Taskmaster from unleashing a Hydra army Iron Man and Captain America must learn to work together
674,Bygones Be Bygones,Comedies International Movies Romantic Movies  AtaDemirer TuvanaTürkay ÜlküDuru SalihKalyon RenanBilek SedaGüven ToprakSergen AliYoğurtçuoğlu BedirBedir GümeçAlpayAslan Bygones Be Bygones A mothers plan to find her bachelor son a match derails when a new prospect turns up and sinister schemes unfold
675,El Camino A Breaking Bad Movie,Dramas Thrillers  AaronPaul El Camino A Breaking Bad Movie Fugitive Jesse Pinkman attempts to outrun his past Written and directed by Breaking Bad creator Vince Gilligan starring Aaron Paul
676,Fractured,Thrillers  SamWorthington LilyRabe StephenTobolowsky AdjoaAndoh LucyCapri LaurenCochrane ShaneDean Fractured After his wife and injured daughter disappear from an ER a man conducts a panicked search and becomes convinced the hospital is hiding something
677,The Bling Lagosians,Dramas International Movies  GbengaTitiloye ElvinaIbru SharonOoja OsasIghodaroAjibade MonalisaChinda ToyinAbraham BisolaAiyeola OladeleOgunlana JimmyOdukoya AlexEkubo The Bling Lagosians With a matriarch bent on having a lavish 51st birthday party her familys debt is on the verge of exposure threatening their business  and legacy
678,The Forest of Love,Dramas International Movies Thrillers  KippeiShiina ShinnosukeMitsushima KyookoHinami EriKamataki YoungDais NatsukiKawamura YuzukaNakaya DaiHasegawa ChihoFujii SeiMatobu Denden The Forest of Love A con man and a wouldbe filmmaking crew force themselves into the lives of two griefscarred young women But nothing is as it seems
679,The Influence,Horror Movies International Movies  ManuelaVellés MaggieCivantos AlainHernández ClaudiaPlacer DanielaRubio EmmaSuárez RamónEsquinas FelipeGarcíaVélez MarianaCordero The Influence Back in her childhood home to help her sister care for their comatose mother Alicia must face a dark force from her past that now threatens her child
680,Filosofi Kopi The Movie,Dramas International Movies  ChiccoJerikho RioDewanto JulieEstelle JajangC.Noer SlametRahardjo OtigPakis ArashBuana HazelRaditya DimasHarya WestnyDj Filosofi Kopi The Movie The levelheaded owner of a struggling coffee shop finds his future at risk when his partner  a talented but cocky barista  makes a major bet
681,Ordinary Heroes,Crime TV Shows International TV Shows TV Dramas  GiorgioTirabassi MarcoBocci CristianaCapotondi GretaScarano MichelaCescon DianeFleri CarloCalderone ClaudioGioè RominaMondello OrlandoCinque LuigiMariaBurruano RiccardoScamarcio LorenzaIndovina IvanaLotito PierfrancescoPoggi MarcoLeonardi AnnaFerruzzo PeppinoMazzotta GiorgioMarchesi Ordinary Heroes Get an intimate look at four engaged citizens whose courage sense of civic duty and ultimate sacrifice helped to transform Italian society
682,Salt Fat Acid Heat,Docuseries  SaminNosrat Salt Fat Acid Heat Chef and food writer Samin Nosrat travels the world to explore four basic keys to wonderful cooking serving up feasts and helpful tips along the way
683,اشتباك,Dramas Independent Movies International Movies  NellyKarim HanyAdel TarekAbdelAziz AhmedMalek AhmedDash HusniSheta AlyEltayeb AmrElKady MohamedAbdElAzim GameelBarsoum AshrafHamdy اشتباك Amid the tumult following Egyptian President Morsis ouster demonstrators from divergent backgrounds are brought together inside a police truck
684,Beyblade Burst Turbo,Anime Series Kids TV  LauraStahl BillyKametz DerekStephenPrince KyleMcCarley BrandonWinckler KimlinhTran Beyblade Burst Turbo Yearning to earn the title of world blading champion a novice competitor must harness his untamed potential through training and tournaments
685,GEN HOSHINO STADIUM TOUR POP VIRUS,International Movies Music  Musicals  GenHoshino GEN HOSHINO STADIUM TOUR POP VIRUS Singersongwriter Gen Hoshino takes the stage at the sold out Tokyo Dome in his highly anticipated 2019 Pop Virus dome tour
686,Ultramarine Magmell,Anime Series International TV Shows  KengoKawanishi M・A・O ToshiyukiMorikawa HibikuYamamura SatoshiMikami KojiYusa HiroshiYanaka ShiroSaito KeiichiSonobe Ultramarine Magmell Decades after the sudden birth of a new continent a young rescuerforhire provides aid to adventurers exploring this dangerous uncharted world
687,22Jul,Dramas Thrillers  AndersDanielsenLie JonØigarden JonasStrandGravli OlaG.Furuseth MariaBock ThorbjørnHarr JadenSmith 22Jul After devastating terror attacks in Norway a young survivor grieving families and the country rally for justice and healing Based on a true story
688,Blood Pact,Crime TV Shows International TV Shows TV Dramas  GuilhermeFontes RavelCabral JonathanHaagensen AndréRamiro AdrianoGarib MelLisboa CristinaLago Blood Pact An ambitious TV reporter uses risky and ethically questionable methods to report on gang wars and police corruption in the Amazon port of Belém Brazil
689,Tales From the Hood 2,Cult Movies Horror Movies Independent Movies  KeithDavid BryanBatt AlexandriaDeberry BillMartinWilliams MartinBatsBradford KendrickCross JasmineAkakpo KedrickBrown Tales From the Hood 2 Buckle up for an anthology of socially conscious horror stories that focus on the perils of racial injustice and the price of ignorance
690,Christina P Mother Inferior,StandUp Comedy  ChristinaPazsitzky Christina P Mother Inferior Christina Pazsitzky hits Seattle with a biting dose of reality telling truths about her childhood getting older and the horrors of giving birth
691,Natures Great Events 2009,British TV Shows Docuseries Science  Nature TV  DavidAttenborough Natures Great Events 2009 This series looks at how seasonal changes cause shifting weather patterns and ocean currents creating the conditions for spectacular wildlife events
692,The Blue Planet A Natural History of the Oceans,British TV Shows Docuseries International TV Shows  DavidAttenborough The Blue Planet A Natural History of the Oceans David Attenborough narrates this definitive exploration of the marine world from the familiar to the unknown revealing the sea and its communities
693,Chelsea Handler Uganda Be Kidding Me Live,StandUp Comedy  ChelseaHandler Chelsea Handler Uganda Be Kidding Me Live In her first Netflix standup comedy special Chelsea Handler recounts her African adventures and provides hilarious photographic evidence
694,300 Miles to Heaven,Dramas International Movies  KrzysztofStroiński AndrzejMellin AdriannaBiedrzyńska AdriannaBiedrzyńska RafałZimowski KamaKowalewska WiesławKomasa AleksanderBednarz JadwigaJankowska-Cieslak WojciechKlata 300 Miles to Heaven Hoping to help their dissident parents two brothers sneak out of Poland and land as refugees in Denmark where they are prevented from returning home
695,AMI,Horror Movies  DebsHoward PhilipGranger SamRobertMuik HavanaGuppy BonnieHay VeronicaHampson LoriTriolo AndrewCoghlan LauraMitchell ElinetLouicius AMI After losing her mother a teenage girl bonds with her phones artificial intelligence app a relationship that soon takes a dark and violent turn
696,Along Came a Spider,Thrillers  MorganFreeman MonicaPotter MichaelWincott DylanBaker MikaBoorem AntonYelchin KimHawthorne JayO.Sanders BillyBurke MichaelMoriarty PenelopeAnnMiller Along Came a Spider When a girl is kidnapped from a prestigious prep school a homicide detective takes the case teaming up with young security agent
697,Alpha and Omega 2 A Howliday Adventure,Children  Family Movies  BenDiskin KateHiggins BlackieRose LindsayTorrance LizaWest TracyPfau BillLader MerylLeigh ShaunGerardo Alpha and Omega 2 A Howliday Adventure In this animated outdoor adventure wolf couple Humphrey and Kate face a crisis when one of their three cubs disappears without explanation
698,Bad Boys,Action  Adventure Comedies  WillSmith MartinLawrence TéaLeoni TchékyKaryo TheresaRandle JoePantoliano EmmanuelXuereb MichaelImperioli NestorSerrano JulioOscarMechoso Bad Boys In this fastpaced actioner two Miami narcotics cops are hot on the trail of a master crook who has snatched 100 million worth of heroin
699,Bad Boys II,Action  Adventure Comedies  WillSmith MartinLawrence JordiMollà GabrielleUnion PeterStormare TheresaRandle JoePantoliano MichaelShannon JonSeda YulVazquez Bad Boys II In this hyperkinetic sequel a pair of Miami narcotics cops investigate a Cuban drug kingpins connection to Floridas influx of Ecstasy
700,Blow,Dramas  JohnnyDepp PenélopeCruz FrankaPotente RachelGriffiths PaulReubens JordiMollà CliffCurtis MiguelSandoval EthanSuplee RayLiotta Blow Cocaine smuggler George rises from poverty to become one of the biggest drug dealers in America before his eventual downfall
701,Candyman,Cult Movies Horror Movies  VirginiaMadsen TonyTodd XanderBerkeley KasiLemmons VanessaWilliams DeJuanGuy MichaelCulkin StanleyDeSantis Candyman Grad student Helen Lyle unintentionally summons the Candyman a hookhanded creature made flesh by other peoples belief in him
702,Charlies Angels,Action  Adventure Comedies  CameronDiaz DrewBarrymore LucyLiu BillMurray SamRockwell KellyLynch TimCurry CrispinGlover MattLeBlanc LLCoolJ TomGreen LukeWilson Charlies Angels Three beauties use their looks charm and martialarts training to kick butt on the trail of stolen software in this reboot of the classic TV series
703,Charlies Angels Full Throttle,Action  Adventure Comedies  CameronDiaz DrewBarrymore LucyLiu BernieMac CrispinGlover JustinTheroux RobertPatrick DemiMoore RodrigoSantoro ShiaLaBeouf MattLeBlanc LukeWilson JohnCleese Charlies Angels Full Throttle In this reboot of the TV classic the Angels are tasked with finding lost rings encoded with the personal information of people in witness protection
704,Cheese in the Trap,International TV Shows Korean TV Shows Romantic TV Shows  ParkHae-Jin KimGo-eun SeoKang-jun LeeSung-kyoung NamJoo-hyuk ParkMin-ji HwangSeog-jeong SonByung-ho AhnKil-kang Cheese in the Trap In this adaptation of a popular webtoon a poor student trying to navigate college life gains the attention of a wealthy upperclassman with a dark side
705,Chicago Typewriter,International TV Shows Korean TV Shows Romantic TV Shows  YooAh-in ImSoo-jung KoKyoung-pyo KwakSi-yang JoWoo-jin YangJin-sung JeonSoo-kyeong JiDae-han ChunHo-jin Chicago Typewriter A veterinarian and two writers have a mysterious connection to Korean independence fighters from the Japanese colonial period
706,College Romance,International TV Shows Romantic TV Shows TV Comedies  ManjotSingh ApoorvaArora KeshavSadhna ShreyaMehta HiraAshar GaganArora College Romance Three best friends look for love laughs and some lifelong memories while attending college together
707,Crash,Dramas Independent Movies  SandraBullock DonCheadle MattDillon JenniferEsposito WilliamFichtner BrendanFraser TerrenceHoward Ludacris ThandieNewton RyanPhillippe LarenzTate NonaGaye MichaelPeña Crash In postSept 11 Los Angeles tensions erupt when the lives of people from all walks of life converge during a 36hour period
708,Dumb and Dumberer When Harry Met Lloyd,Comedies  EricChristianOlsen DerekRichardson RachelNichols CheriOteri LuisGuzmán EldenHenson WilliamLeeScott MimiRogers EugeneLevy Dumb and Dumberer When Harry Met Lloyd This wacky prequel to the 1994 blockbuster goes back to the lamebrained title characters days as classmates at a Rhode Island high school
709,Earth to Echo,Children  Family Movies SciFi  Fantasy  TeoHalm Astro ReeseHartwig EllaWahlestedt JasonGray-Stanford AlgeeSmith CassiusWillis SonyaLeslie KerryO'Malley VirginiaLouiseSmith PeterMackenzie ValerieWildman Earth to Echo When a construction project begins in their neighborhood four friends start receiving bizarre encoded text messages on their cell phones
710,Engineering Girls,International TV Shows TV Comedies  BarkhaSingh KritikaAvasthi SejalKumar Engineering Girls Three engineering students deal with dorm drama date around and do whatever it takes to make their dreams come true
711,Escape from the Liberty Cinema,Comedies Dramas Independent Movies  JanuszGajos ZbigniewZamachowski TeresaMarczewska PiotrFronczewski WładysławKowalski MichałBajor JanPeszek JerzyBińczycki Escape from the Liberty Cinema Artistic rebellion ignites at the movies when film characters suddenly speak freely to the audience prompting a surly censor to combat the uprising
712,Exit Wounds,Action  Adventure  StevenSeagal DMX IsaiahWashington AnthonyAnderson MichaelJaiWhite BillDuke JillHennessy TomArnold BruceMcGill DavidVadim EvaMendes Exit Wounds Maverick cop Orin Boyd joins forces with an unlikely ally in gangster Latrell Walker to take down a group of dirty Detroit cops
713,First Kiss,Dramas International Movies Romantic Movies  VajènvandenBosch BuddyVedder LeontineBorsato CarolinedeBruijn StijnFransen MarijeZuurveld First Kiss A starryeyed employee of a hot cosmetics company hires a dreamy photographer who is secretly indebted to a major rival  her sketchy aunt
714,Girls Hostel,International TV Shows TV Comedies TV Dramas  SrishtiShrivastava ParulGulati SimranNatekar AhsaasChanna ShreyaMehta GaganArora TruptiKhamkar KhushbuBaid Girls Hostel Four girls from different backgrounds become unlikely friends when they move into a dormitory for female dental students
715,Good Burger,Children  Family Movies Comedies  KenanThompson KelMitchell AbeVigoda DanSchneider SharJackson JanSchweiterman LindaCardellini Sinbad RonLester JoshServer GinnySchreiber Good Burger Two LA teens with summer jobs at Good Burger try to save their small restaurant when a corporate giant burger franchise moves in across the street
716,Good Luck Chuck,Comedies Romantic Movies  DaneCook JessicaAlba DanFogler ElliaEnglish SashaPieterse AnnieWood LonnyRoss ChelanSimmons SimoneBailly JodelleFerland CrystalLowe TroyGentile GeorgiaCraig MichelleHarrison ChiaraZanni Good Luck Chuck Every time Chuck breaks up with a girlfriend she ends up engaged to her next boyfriend Soon women are dating Chuck in hopes of meeting Mr Right
717,Harold  Kumar Escape from Guantanamo Bay,Comedies Cult Movies  JohnCho KalPenn RobCorddry JackConley RogerBart NeilPatrickHarris DanneelAckles EricWinter PaulaGarcés JonReep MissiPyle Harold  Kumar Escape from Guantanamo Bay Harold and Kumar jump on a plane to catch up with Harolds love interest but must change their plans when Kumar is accused of being a terrorist
718,Honey 2,Dramas Romantic Movies  KatGraham MarioLopez AudrinaPatridge SeychelleGabriel RandyWayne BrandonMolale MelissaMolinaro JossaraJinaro LonetteMcKee LaurieannGibson ChristopherShazar Honey 2 Determined to prove herself as a street dancer Maria heads from juvie to a Bronx rec center where shes introduced to her dance idol Honey Daniels
719,Hotel Pacific,Classic Movies Dramas International Movies  MarekKondrat RomanWilhelmi RomanSkamene ČestmírŘanda MichałPawlicki MartinHron StanisławaCelińska JoannaKasperska JaroslavaSchallerová Hotel Pacific A motivated teen strives to rise from dishwasher to waiter at a luxury hotel only to tread in the abusive tide of its workplace hierarchy
720,House of the Witch,Horror Movies  EmilyBader DarrenMann MichelleRandolph CoyStewart JessePepe ArdenBelle JoelNagle NolanBateman House of the Witch A group of daring teens finds themselves in a fight for their lives inside a haunted house when a sinister spirit crashes their Halloween party
721,Inmates,International TV Shows TV Comedies  KashyapKapoor AshishVerma RaghavRajKakker MuktiMohan AkankshaThakur Inmates While living under one roof five closeknit 20somethings maneuver the highs and lows of friendship romantic entanglements and finding themselves
722,Jealousy and medicine,Dramas International Movies Romantic Movies  MariuszDmochowski EwaKrzyżewska WłodzimierzBoruński AndrzejMrowiec JózefRosiński PiotrKąkolewski BeataNowicka EdmundFetting GrażynaStaniszewska AndrzejŁapicki Jealousy and medicine Tormented by mistrust a businessman hires a cagey tailor to track his wifes whereabouts with her doctor only to send his mind further down an abyss
723,Knowing,SciFi  Fantasy Thrillers  NicolasCage ChandlerCanterbury RoseByrne LaraRobinson D.G.Maloney NadiaTownsend AlanHopgood AdriennePickering Knowing An MIT astrophysics professor and his son unearth a string of numbers from a time capsule that seem to reveal a cataclysm that will wipe out humanity
724,Medium,Horror Movies International Movies Thrillers  WładysławKowalski MichałBajor JerzyZelnik JerzyStuhr GrażynaSzapołowska JerzyNowak EwaDałkowska PiotrMachalica ZygmuntZintel HenrykBista Medium In 1930s Poland a powerful psychic steers a group of strangers toward a fated convergence that ensures survival for one and annihilation for others
725,Men in Black II,Action  Adventure Comedies SciFi  Fantasy  TommyLeeJones WillSmith RipTorn LaraFlynnBoyle JohnnyKnoxville RosarioDawson TonyShalhoub PatrickWarburton JackKehler DavidCross Men in Black II Will Smith and Tommy Lee Jones reprise their roles as two highly secretive and unofficial government agents dealing with all things evil and alien
726,Nikki Glaser Bangin,StandUp Comedy  NikkiGlaser Nikki Glaser Bangin Nikki Glaser bares all in a blistering standup special about sex sobriety and getting over her own insecurities And she wont spare you the details
727,No Reservations,Comedies Romantic Movies  CatherineZeta-Jones AaronEckhart AbigailBreslin PatriciaClarkson JennyWade BobBalaban BríanF.O'Byrne LilyRabe No Reservations Kate an uptight chef finds her life turned upside down when her sister dies in a car accident and she becomes her nieces sole guardian
728,Oceans Thirteen,Action  Adventure Comedies  GeorgeClooney BradPitt MattDamon AndyGarcia DonCheadle BernieMac EllenBarkin AlPacino CaseyAffleck ScottCaan Oceans Thirteen This entry in the allstar caper franchise finds debonair con man Danny Ocean and his gang taking revenge on a doublecrossing Las Vegas kingpin
729,Oceans Twelve,Action  Adventure Comedies  GeorgeClooney BradPitt MattDamon CatherineZeta-Jones AndyGarcia DonCheadle BernieMac JuliaRoberts CaseyAffleck ScottCaan Oceans Twelve Danny Ocean reunites with his old flame and the rest of his merry band of thieves in a caper covering three huge heists in Rome Paris and Amsterdam
730,One Direction This Is Us,Documentaries Music  Musicals  HarryStyles NiallHoran ZaynMalik LouisTomlinson LiamPayne One Direction This Is Us Awardwinning documentarian Morgan Spurlock turns his camera on boy band phenomenon One Direction in this combination concert film and backstage pass
731,Raging Bull,Classic Movies Dramas Sports Movies  RobertDeNiro CathyMoriarty JoePesci FrankVincent NicholasColasanto TheresaSaldana MarioGallo FrankAdonis JosephBono Raging Bull This gritty biopic of brutal boxer Jake LaMotta portrays a tormented soul rising to the top of his sport only to be undone by his demons
732,Rugrats in Paris The Movie,Children  Family Movies Comedies  ElizabethDaily TaraStrong CherylChase ChristineCavanaugh CreeSummer KathSoucie MichaelBell TressMacNeille CaseyKasem JoeAlaskey DebbieReynolds JackRiley SusanSarandon JohnLithgow Rugrats in Paris The Movie The Rugrats take to the big screen and visit Paris when Mr Pickles gets summoned to fix a giant robot at the EuroReptarland theme park
733,Scream 2,Horror Movies  NeveCampbell DavidArquette CourteneyCox SarahMichelleGellar JamieKennedy LaurieMetcalf EliseNeal JerryO'Connell TimothyOlyphant JadaPinkettSmith LievSchreiber LewisArquette DuaneMartin RebeccaGayheart PortiadeRossi OmarEpps ToriSpelling HeatherGraham JoshuaJackson LukeWilson Scream 2 Gale has written a bestseller which has been turned into a film As the movie premiere looms closer the mysterious deaths begin again
734,Senna,Documentaries International Movies Sports Movies  AyrtonSenna AlainProst FrankWilliams Senna This fastpaced documentary profiles Ayrton Senna one of the greatest drivers in the history of Formula One racing and a hero in his native Brazil
735,Signal,Crime TV Shows International TV Shows Korean TV Shows  KimHye-su LeeJe-hoon ChoJin-woong JangHyun-sung JeongHae-gyoon KimWon-hae JungHan-bi LeeYu-jun SonHyeon-ju Signal Communicating via a walkietalkie that transcends time a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice
736,Sin City,Action  Adventure  BruceWillis MickeyRourke JessicaAlba CliveOwen RosarioDawson BenicioDelToro NickStahl ElijahWood RutgerHauer PowersBoothe DevonAoki AlexisBledel JoshHartnett JaimeKing BrittanyMurphy MichaelClarkeDuncan MichaelMadsen Sin City In these intertwined tales an excon avenges a hookers death a gumshoe gets mixed up with dangerous vixens and a cop saves a dancer from a rapist
737,Sinister Circle,Horror Movies International Movies  MileneVázquez MatíasRaygada ClaudiaDammert MarcelloRivera AtiliaBoschetti HernánRomero IsmaelContreras PietroSibille LeslieShaw Sinister Circle A psychologist and her mute son confront evil forces at the site of a terrible tragedy involving an ancestral Ouija board and a demonic secret society
738,Supergirl,Action  Adventure SciFi  Fantasy  FayeDunaway HartBochner HelenSlater PeterCook Supergirl When she loses her citys vital power supply Kryptonian Kara follows it to Earth in the hopes of retrieving it Although gifted with powers like her cousin Superman Kara struggles to defeat the evil Selena who now controls the mighty object
739,Superman Returns,Action  Adventure SciFi  Fantasy  BrandonRouth KateBosworth KevinSpacey JamesMarsden ParkerPosey FrankLangella SamHuntington EvaMarieSaint MarlonBrando KalPenn Superman Returns When Superman returns to Metropolis he finds that Lois Lane has moved on to another man and Lex Luthor is developing a new plan to rule the world
740,Surfs Up,Children  Family Movies Comedies Sports Movies  ShiaLaBeouf JeffBridges ZooeyDeschanel JonHeder JamesWoods DiedrichBader MarioCantone KellySlater RobMachado SalMasekela Surfs Up This Oscarnominated mockumentary goes behind the scenes at the Penguin World Surfing Championship to get a closeup look at the inventors of surfing
741,The Bounty Hunter,Action  Adventure Comedies Romantic Movies  JenniferAniston GerardButler JasonSudeikis JeffGarlin RitchieCoster CathyMoriarty PeterGreene JoelMarshGarland SiobhanFallonHogan DorianMissick AdamRose ChristineBaranski CarolKane AdamLeFevre The Bounty Hunter Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bailjumper he must chase down is his exwife Nicole
742,The Bucket List,Comedies Dramas  JackNicholson MorganFreeman SeanHayes BeverlyTodd AlfonsoFreeman RobMorrow RowenaKing ChristopherStapleton IanAnthonyDale RichardMcGonagle The Bucket List Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket
743,The Cruise,Comedies Cult Movies International Movies  JanHimilsbach StanislawTym JerzyDobrowolski ZdzislawMaklakiewicz AndrzejDobosz FeridunErol JolantaLothe WandaStanisławska-Lothe The Cruise When the captain of a pleasant cruise ship mistakes a mischievous stowaway the entertainment director wild and wacky hijinks ensue
744,The Figurine Araromire,Horror Movies International Movies Thrillers  RamseyNouah OmoniOboli KunleAfolayan FunlolaAofiyebi TosinSido DavidJ.Oserwe KateAdepegba MurainaOyelami WaleAdebayo OmboGogoOmbo The Figurine Araromire When a pair of friends discovers a mystical sculpture in an abandoned shrine good fortune is bestowed upon them  until luck starts running out
745,The Flintstones,Children  Family Movies Comedies  JohnGoodman ElizabethPerkins RickMoranis RosieO'Donnell KyleMacLachlan HalleBerry ElizabethTaylor DannFlorek SamRaimi HarveyKorman The Flintstones The Flintstones hit the big screen in this liveaction comedy that finds Fred and Barney struggling to cope with the pressures of work and family
746,The Flintstones in Viva Rock Vegas,Children  Family Movies Comedies Romantic Movies  MarkAddy StephenBaldwin KristenJohnston JaneKrakowski JoanCollins ThomasGibson AlanCumming The Flintstones in Viva Rock Vegas Yabbadabbadoo Digital dinosaurs rule the day when Fred Barney Betty and Wilma take Vegas by storm in this prequel that posits their lives before marriage
747,The K2,International TV Shows Korean TV Shows Romantic TV Shows  JiChang-wook SongYoon-a LimYoona ChoSeong-ha KimKap-soo LeeJung-jin SonTae-young ShinDong-mi The K2 A fugitive soldier gets swept up in personal and political intrigue when hes hired as a bodyguard for the family of a presidential candidate
748,The Liar and His Lover,International TV Shows Korean TV Shows Romantic TV Shows  LeeHyun-woo Joy LeeJung-jin LeeSeo-won HongSeo-young ChoiMin-soo LimYe-jin JangKi-yong SongKang ParkJi-young The Liar and His Lover A talented singer falls in love at first sight with a music prodigy who has an affinity for lies  and a knack for being a hitmaking producer
749,The lynx,Dramas International Movies  JerzyRadziwiłowicz FranciszekPieczka PiotrBajor RyszardaHanin JanuszPaluszkiewicz HenrykMachalica HannaMikuć MariaKlejdysz The lynx A priests duties are tested when a young guerrilla asks for absolution while confessing his plans to murder a local man he believes is a traitor
750,The Pursuit of Happyness,Dramas  WillSmith JadenSmith ThandieNewton BrianHowe JamesKaren DanCastellaneta KurtFuller TakayoFischer The Pursuit of Happyness When Chris and his son are evicted they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm
751,The Rugrats Movie,Children  Family Movies Comedies  ElizabethDaily ChristineCavanaugh KathSoucie MelanieChartoff PhilProctor CreeSummer CherylChase TaraStrong JackRiley JoeAlaskey MichaelBell TressMacNeille BustaRhymes WhoopiGoldberg DavidSpade The Rugrats Movie When his baby brother Dil is born Tommy Pickles and his pals decide that hes too much responsibility and try to return him to the hospital
752,The spiral,Dramas Independent Movies International Movies  JanNowicki MajaKomorowska ZofiaKucówna AleksanderBardini JanŚwiderski SewerynaBroniszówna PiotrGarlicki MarianGlinka The spiral When an unbearable stranger arrives at a winter mountain resort and vanishes overnight his dark past comes to light
753,The Squid and the Whale,Comedies Dramas Independent Movies  JeffDaniels LauraLinney JesseEisenberg OwenKline WilliamBaldwin HalleyFeiffer AnnaPaquin KenLeung DavidBenger AdamRose The Squid and the Whale This insightful drama looks at the crumbling marriage between a selfcentered novelist  whose career is waning  and his upandcoming writer wife
